#id	Piratapuyo	Barasano	Desano	Koreguahe	Siona	Kubeo	Sekoya	Wanano	Tanimuka	Tuyuka	Tukano	Maihiki	Karapan	Kueretu	Yupua	Prototucanoan
105-rub-87	?	tʃ ĩ ŋ ẽ	?	?	?	h ĩ h ũ	?	tʰ u + s a ˀk a	?	t u u + s ã k ẽ	s ã ˀk ẽ	?	h ĩ k ẽ	?	?	s ĩ kˀ e
81-monkeysp-88	?	i tʃ i k a m u	?	s i s i k o ˀɾ o ɾ o	s i s i	h i h i j o	?	m ẽ n ẽ + ĩ ˀs ĩ	?	?	?	tʃ i tʃ i	s i i	?	?	s i s i
121-tosmokemeat-89	?	tʃ e tʃ o	s i j u	s ɨ j o	s ẽ j o	h ɨ j o w a	s ɨ j o	s ɨ s o	?	?	s ɨ ˀs o	s ɨ j o	s i s o	ã s ɨ	s i j u	s ɨ ˀj o
6-back-90	?	?	s ũ ŋ ũ	s õ kʰ ɨ	?	?	?	s ũ k ũ	?	s u k u	s ũ k ũ	?	h õ k ɨ̃	?	?	s õ k ɨ
100-pot-91	?	tʃ o t ɨ	s o d o	tʰ o tʰ o	s o t o	h o d o	s o t o	s i t u	h o t o	s o t ɨ	s ɨ t ɨ	t o t o	h o t ɨ	?	?	s o t
102-red-92	?	tʃ ũ ã	?	?	?	h ũ ã	?	s õ ʔ ã	h ũ ã	s õ ã	s õ ʔ ã	?	h õ a	?	?	s õ ʔ a
104-root-93	?	?	n ũ ŋ ũ	?	?	n ɨ̃ õ	?	n ɨ̃ ˀk õ	ɾ ĩ k õ	n ɨ̃ k õ	n ɨ̃ ˀk õ	?	n ɨ̃ ˀk õ	?	?	tˀ ɨ̃ kˀ o
58-heavy-94	?	ɾ ɨ̃ k ɨ̃	n ɨ̃ k ɨ̃	ɾ ɨ kʰ ɨ	d ɨ k ɨ	d ɨ k ɨ	d ɨ k ɨ	n ɨ̃ k ɨ̃	ɾ ĩ k ĩ	n ɨ̃ k ɨ̃	n ɨ̃ k ɨ̃	d ɨ k ɨ	n ɨ̃ k ɨ̃	?	?	tˀ ɨ kː ɨ
137-wife-95	?	?	?	ɾ ɨ h o	n ɨ̃ h o	?	d ɨ h o	n ã m õ	ɾ ũ m ũ	n ɨ̃ m õ	n ɨ̃ m õ	n ɨ h o	n ɨ̃ m õ	?	?	tˀ ɨ̃ p o
27-cut-96	?	ɾ u t e	?	ɾ u ˀtʰ e	t ɨ̃ t e	?	?	d ɨ t e	?	?	d ɨ t e	?	?	?	?	tˀ ɨ tː e
27-cut-145	?	?	?	?	?	?	?	?	?	?	?	j ɨ i	?	?	?	?
129-trairafish-97	?	ɾ o e	d o e	ɾ o j e	?	d o j e	d o j e	?	ɾ o j e	?	d o e	?	ɾ o s e	?	?	tˀ o j e
139-woman-98	?	ɾ õ m ĩ õ	n õ m ẽ õ	ɾ o m i o	n o m i	n õ m ĩ	n õ m i o	n ũ m ĩ n õ	ɾ õ m õ	n ũ m ĩ õ	n ũ m ĩ õ	n o m i o	ɾ õ m ĩ õ	?	?	tˀ õ m i
31-dove-99	?	ts i o ɾ o	?	s i ʔʷ i	tʃ i ʔʷ i	h u d e	s ɨ ɾ a	s i ɾ i p i	?	?	s i ɾ i	s ɨ n i	?	?	?	tʃ ɨ
51-gather-100	?	ts ã a	?	s i a	tʃ i a	h e w a	s i a	s a a	?	?	s u a	tʃ i a	h e e	?	?	tʃ ɨ a
87-navel-101	?	tʃ õ m ɨ̃	s ũ m ũ	s ũ h ũ	tʃ õ h õ	h õ m ɨ̃	s õ h õ	s ɨ̃ m ɨ̃ k ã	h ũ m ũ	s ũ m ũ ã	s ũ m ũ	s õ h õ	h õ m ɨ̃	t o u	tʃ ũ m ũ	tʃ õ pˀ ɨ
54-grass-102	?	t a a	t a a	tʰ a j a	t a j a	d a	t a j a	tʰ a a	t a j a	t a a	t a a	t a j a	t a a	t a j a	?	t a j a
80-monkey-103	?	ɡ a k e	ɡ a k i	t ã kʰ e	t ã k e	t a k e	t ã k e	k a	t a k e	a k e	a k e	t ã k e	a k e	?	?	t a kː e
24-chew-104	?	?	?	j a k i	?	h ã h ɨ̃	sˀ ã k i	j a ˀk a	?	j a ɡ e	j a ˀɡ e	n a k i	?	?	?	tsˀ ã kˀ ɨ
128-toucan-105	?	?	n ã s ĩ	j ã s e	j ã s e	h o e w e	j ã s e	d a s e	n ã h ẽ	?	ɾ a tʃ e	?	d a s a	ɾ a s e	?	tsˀ a s e
125-tongue-106	?	ɲ ẽ m ẽ	?	j e m e	sˀ e m e	h ẽ m ẽ	sˀ e m e	ɲ ã m ã	?	ɲ ẽ m ẽ	ɲ ẽ m ẽ	n e m e	ɲ ẽ m ẽ	j a m e	?	tsˀ e m e
9-black-107	?	ɲ ĩ ĩ	ɲ ĩ ĩ	j i	sˀ i	ɲ ẽ m ĩ	?	ɲ ĩ ĩ	n ẽ ʔ ĩ	ɲ ĩ ĩ	ɲ ĩ ĩ	n e a	ɲ ĩ ĩ	?	?	tsˀ ĩ
34-egg-108	?	ɾ i a	?	j i a	sˀ i a	h ĩ d ɨ	sˀ i a	d i e	ɾ i a	d i j e	d i e	j i a	ɾ i a	?	?	tsˀ i a
39-face-109	?	ɾ i a	d i a	j i a	?	h i w a	sˀ i a	?	?	d i a + p o a	d i a	j i a	ɾ i a	?	?	tsˀ i a
103-river-110	?	ɾ i a	d i a	j i a	sˀ i a	h i a	sˀ i a	d i a	ɾ i a	d i a	d i a	j i a	ɾ i a	ɾ a	?	tsˀ i a
11-blood-111	?	ɾ i i	d i i	j i e	sˀ i e	h i w e	sˀ i e	d i	ɾ i b e	d i i	d i i	?	ɾ i i	ɾ i e ɾ i	?	tsˀ i e
72-lake-112	?	?	d i t a	?	sˀ i t a d a	h i t a	?	?	?	t a ɾ o	d i t a	tʃ i t a	?	ɾ i t a	t i t a	tsˀ i tː a
57-head-113	?	ɾ i h o	d i p u	s ĩ h õ	sˀ ĩ h õ	h i p o	s ĩ õ	d a p u	ɾ u ɸ u	d u p u	d ɨ p o	tʃ i o	ɾ ɨ p o	?	d ɨ p ɨ	tsˀ ɨ p o
83-mouth1-114	?	ɾ i tʃ e	d i s i	?	?	h i h e	?	d ɨ s e	ɾ i h o	ɨ s e	ɨ ˀs e	?	ɾ i s e	ɾ i s e p u	d i ts i	tsˀ ɨ s e o
30-distant-115	?	j o a	j o a	?	sˀ o a	h o a	s o ʔ o	j o a	j o e	j o a	j o a	d o a	j o a	j o e	?	tsˀ o a
70-kingfisher-116	?	ɲ ã s ã	s ã n ã	s ã ˀs a	?	h ã h ã	sˀ ã ˀs a	s ã n ã	h ã h ã	?	s ã n ã	?	ɲ ã s ã	?	s ã s ã	ts ã s a
95-peccary-117	?	j e tʃ e	j e s e	s ẽ s e	s ẽ s e	h ẽ h ẽ	s ẽ s e	j e s e	h ẽ h ẽ	j e s e	j e s e	s ẽ s e	?	j e s e	ts e ts e	ts ẽ s e
99-poison-118	?	?	n ĩ m ã	j i m a	?	h ĩ m ã	sˀ ĩ m a	ɲ ĩ m ã	?	n ĩ m ã	n ĩ m ã	?	n ĩ m ã	?	?	ts i m a
55-green-119	?	ts ɨ̃ m ẽ	?	?	s ɨ h o	h ɨ̃ m ẽ	?	?	h ĩ ˀm ĩ	s ɨ̃ m ẽ ɾ̃ ẽ	s ɨ ˀm e	?	h ɨ̃ m ẽ	t ɨ m ɨ	ts ɨ m ɨ	ts ɨ̃ pˀ e
26-cold-120	?	ɨ ts a	j ɨ s a	s ɨ s ɨ	s ɨ s ɨ	h ɨ h ɨ	s ɨ s ɨ	j ɨ s ɨ	h i ˀh i a	j ɨ s ɨ a	j ɨ s ɨ a	s ɨ s ɨ	?	j ɨ s ɨ a	ts e s ɨ	ts ɨ s i
130-tree-121	?	j u k ɨ	j u k ɨ	s ũ k i j̃ ɨ	s ũ k i	h o k ɨ	s õ k ɨ	j u k ɨ	h ũ k ĩ	j u k ɨ	j u k ɨ	s ũ k i j̃ i	j u k ɨ	t o k ɨ	?	ts ũ kː ɨ
66-insectsp-122	?	u s i	?	s ũ s i	s u s i	h u h i	?	j ĩ	?	?	?	?	?	t o s i	ts u ts i ɡ a	ts u s i
49-fruitsp-123	?	t o a	?	tʰ o a	t o a	t o a	t o a	tʰ o a	?	?	t o a	t o a	?	?	?	t o a
112-stump-124	?	t u t u	t u d u	tʰ u u	t u	t u t u d i	t u	tʰ u t u	?	?	t u t u	t u	t u t u	?	?	t u
91-pacufish-125	?	u h u	u h u	?	?	?	?	?	?	?	u h u	?	?	h o h u	?	u h u
15-breast-126	?	õ h ẽ	ã p ĩ	o h e	o h e	o p e	o h e	p ẽ n õ	ũ ˀp e	õ p ẽ ã	õ p ẽ	o h e	ũ p ẽ	h u h e ɾ i	?	u p e
134-wasp-127	?	u t i	u t i	u tʰ i	u t i	u tʃ i	u t i	t i	u t i	u t i a	u t i	u t i	u t i	h u t i	?	u tː i
44-fishwithanet-128	?	w a j a	w a j a	w a j o	?	?	?	w a ˀs a	?	?	w a ˀs a	b e j o	?	?	?	w a j a
