rule
pˀ -> m / ⋊ __ õ s a ⋉
õ -> ũ / ⋊ pˀ __ s a ⋉
s -> h / ⋊ pˀ õ __ a ⋉
a -> ã / ⋊ pˀ õ s __ ⋉
pˀ -> b / ⋊ __ o tˀ i k a ⋉
tˀ -> d / ⋊ pˀ o __ i k a ⋉
u -> ũ / ⋊ p ã m __ ⋉
t -> d / ⋊ p i a __ a ⋉
o -> õ / ⋊ p ĩ k __ ⋉
t -> d / ⋊ p ɨ __ ɨ ⋉
s -> h / ⋊ __ e m e ⋉
e -> ẽ / ⋊ s __ m e ⋉
e -> ẽ / ⋊ s e m __ ⋉
s -> h / ⋊ __ ĩ kˀ e ⋉
kˀ -> h / ⋊ s ĩ __ e ⋉
e -> ũ / ⋊ s ĩ kˀ __ ⋉
s -> h / ⋊ __ i s i ⋉
s -> h / ⋊ s i __ i ⋉
∅ -> j / ⋊ s i s i __ ⋉
∅ -> o / ⋊ s i s i __ ⋉
s -> h / ⋊ __ ɨ ˀj o ⋉
ˀj -> j / ⋊ s ɨ __ o ⋉
∅ -> w / ⋊ s ɨ ˀj o __ ⋉
∅ -> a / ⋊ s ɨ ˀj o __ ⋉
s -> h / ⋊ __ o t ⋉
t -> d / ⋊ s o __ ⋉
∅ -> o / ⋊ s o t __ ⋉
s -> h / ⋊ __ õ ʔ a ⋉
õ -> ũ / ⋊ s __ ʔ a ⋉
ʔ -> ∅ / ⋊ s õ __ a ⋉
a -> ã / ⋊ s õ ʔ __ ⋉
tˀ -> n / ⋊ __ ɨ̃ kˀ o ⋉
kˀ -> ∅ / ⋊ tˀ ɨ̃ __ o ⋉
o -> õ / ⋊ tˀ ɨ̃ kˀ __ ⋉
tˀ -> d / ⋊ __ ɨ kː ɨ ⋉
kː -> k / ⋊ tˀ ɨ __ ɨ ⋉
tˀ -> d / ⋊ __ o j e ⋉
tˀ -> n / ⋊ __ õ m i ⋉
i -> ĩ / ⋊ tˀ õ m __ ⋉
∅ -> h / ⋊ __ t͡ʃ ɨ ⋉
∅ -> u / ⋊ __ t͡ʃ ɨ ⋉
t͡ʃ -> d / ⋊ __ ɨ ⋉
ɨ -> e / ⋊ t͡ʃ __ ⋉
t͡ʃ -> h / ⋊ __ ɨ a ⋉
ɨ -> e / ⋊ t͡ʃ __ a ⋉
∅ -> w / ⋊ t͡ʃ ɨ __ a ⋉
t͡ʃ -> h / ⋊ __ õ pˀ ɨ ⋉
pˀ -> m / ⋊ t͡ʃ õ __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ t͡ʃ õ pˀ __ ⋉
t -> d / ⋊ __ a j a ⋉
j -> ∅ / ⋊ t a __ a ⋉
a -> ∅ / ⋊ t a j __ ⋉
kː -> k / ⋊ t a __ e ⋉
t͡s -> h / ⋊ __ ã kˀ ɨ ⋉
kˀ -> h / ⋊ t͡s ã __ ɨ ⋉
ɨ -> ɨ̃ / ⋊ t͡s ã kˀ __ ⋉
t͡s -> h / ⋊ __ a s e ⋉
∅ -> o / ⋊ t͡s __ a s e ⋉
a -> e / ⋊ t͡s __ s e ⋉
s -> w / ⋊ t͡s a __ e ⋉
t͡s -> h / ⋊ __ e m e ⋉
e -> ẽ / ⋊ t͡s __ m e ⋉
e -> ẽ / ⋊ t͡s e m __ ⋉
∅ -> ɲ / ⋊ __ t͡s ĩ ⋉
∅ -> ẽ / ⋊ __ t͡s ĩ ⋉
t͡s -> m / ⋊ __ ĩ ⋉
t͡s -> h / ⋊ __ i a ⋉
i -> ĩ / ⋊ t͡s __ a ⋉
∅ -> d / ⋊ t͡s i __ a ⋉
a -> ɨ / ⋊ t͡s i __ ⋉
t͡s -> h / ⋊ __ i a ⋉
∅ -> w / ⋊ t͡s i __ a ⋉
t͡s -> h / ⋊ __ i a ⋉
t͡s -> h / ⋊ __ i e ⋉
∅ -> w / ⋊ t͡s i __ e ⋉
t͡s -> h / ⋊ __ i tː a ⋉
tː -> t / ⋊ t͡s i __ a ⋉
t͡s -> h / ⋊ __ ɨ p o ⋉
ɨ -> i / ⋊ t͡s __ p o ⋉
t͡s -> h / ⋊ __ ɨ s e o ⋉
ɨ -> i / ⋊ t͡s __ s e o ⋉
s -> h / ⋊ t͡s ɨ __ e o ⋉
o -> ∅ / ⋊ t͡s ɨ s e __ ⋉
t͡s -> h / ⋊ __ o a ⋉
t͡s -> h / ⋊ __ ã s a ⋉
s -> h / ⋊ t͡s ã __ a ⋉
a -> ã / ⋊ t͡s ã s __ ⋉
t͡s -> h / ⋊ __ ẽ s e ⋉
s -> h / ⋊ t͡s ẽ __ e ⋉
e -> ẽ / ⋊ t͡s ẽ s __ ⋉
t͡s -> h / ⋊ __ i m a ⋉
i -> ĩ / ⋊ t͡s __ m a ⋉
a -> ã / ⋊ t͡s i m __ ⋉
t͡s -> h / ⋊ __ ɨ̃ pˀ e ⋉
pˀ -> m / ⋊ t͡s ɨ̃ __ e ⋉
e -> ẽ / ⋊ t͡s ɨ̃ pˀ __ ⋉
t͡s -> h / ⋊ __ ɨ s i ⋉
s -> h / ⋊ t͡s ɨ __ i ⋉
i -> ɨ / ⋊ t͡s ɨ s __ ⋉
t͡s -> h / ⋊ __ ũ kː ɨ ⋉
ũ -> o / ⋊ t͡s __ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
t͡s -> h / ⋊ __ u s i ⋉
s -> h / ⋊ t͡s u __ i ⋉
∅ -> t / ⋊ __ t u ⋉
∅ -> u / ⋊ __ t u ⋉
∅ -> d / ⋊ t u __ ⋉
∅ -> i / ⋊ t u __ ⋉
u -> o / ⋊ __ p e ⋉
tː -> t͡ʃ / ⋊ u __ i ⋉
a -> ∅ / ⋊ w __ j o ⋉
j -> ɨ / ⋊ w a __ o ⋉
w -> ∅ / ⋊ __ ã m i ⋉
i -> ĩ / ⋊ w ã m __ ⋉
w -> ∅ / ⋊ __ ã tː i ⋉
tː -> t͡ʃ / ⋊ w ã __ i ⋉
i -> ĩ / ⋊ w ã tː __ ⋉
ʔ -> w / ⋊ w a __ i ⋉
kː -> k / ⋊ w e __ ɨ ⋉
kː -> k / ⋊ w e __ o ⋉
ʔ -> ∅ / ⋊ w e __ e ⋉
e -> i / ⋊ w e ʔ __ ⋉
ʔ -> ∅ / ⋊ w ɨ __ e ⋉
w -> ∅ / ⋊ __ ɨ̃ p o ⋉
ɨ̃ -> õ / ⋊ w __ p o ⋉
o -> õ / ⋊ w ɨ̃ p __ ⋉
w -> b / ⋊ __ u ɨ ⋉
