rule
s -> h / ⋊ t͡s ẽ __ e ⋉
e -> ẽ / ⋊ t͡s ẽ s __ ⋉
t͡s -> h / ⋊ __ ɨ̃ pˀ e ⋉
ɨ̃ -> ĩ / ⋊ t͡s __ pˀ e ⋉
pˀ -> ˀm / ⋊ t͡s ɨ̃ __ e ⋉
e -> ĩ / ⋊ t͡s ɨ̃ pˀ __ ⋉
t͡s -> h / ⋊ __ ɨ s i ⋉
ɨ -> i / ⋊ t͡s __ s i ⋉
s -> ˀh / ⋊ t͡s ɨ __ i ⋉
∅ -> a / ⋊ t͡s ɨ s i __ ⋉
t͡s -> h / ⋊ __ ũ kː ɨ ⋉
kː -> k / ⋊ t͡s ũ __ ɨ ⋉
ɨ -> ĩ / ⋊ t͡s ũ kː __ ⋉
u -> ũ / ⋊ __ p e ⋉
p -> ˀp / ⋊ u __ e ⋉
tː -> t / ⋊ u __ i ⋉
w -> w̃ / ⋊ __ ã m i ⋉
i -> ẽ / ⋊ w ã m __ ⋉
tː -> t / ⋊ w ã __ i ⋉
n -> ɾ / ⋊ w ĩ __ o ⋉
o -> õ / ⋊ w ĩ n __ ⋉
ɨ -> i / ⋊ w __ ʔ e ⋉
e -> i / ⋊ w ɨ ʔ __ ⋉
∅ -> a / ⋊ __ w ɨ̃ p o ⋉
ɨ̃ -> ĩ / ⋊ w __ p o ⋉
p -> ɸ / ⋊ w ɨ̃ __ o ⋉
w -> b / ⋊ __ u ɨ ⋉
ɨ -> i / ⋊ w u __ ⋉
kˀ -> ∅ / ⋊ __ ɨ̃ t a ⋉
ɨ̃ -> ã / ⋊ kˀ __ t a ⋉
