Number	Proto-sound	Context	Kar	Tuy	Wan	Tuk	Des	Kue	Mai	Tan	Kor	Kub	Bar	Yup	Sir	Pir	Sek
169.0	*o	(⋊) (t͡s) (ɨ) (p) __ (⋉)	o	o	o	o	o	o	o	u	o	o	o	ɨ	o	o	o
170.0	*t͡s	(⋊) __ (a|e|ɨ|i|ã|ĩ|ɨ̃|ẽ)	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s	j	t͡s	t͡s	t͡s	t͡s	t͡s	sˀ
171.0	*tː	(a|o|u|ɨ|ã|õ|ũ|ɨ̃) __ (e|i)	tː	tː	tː	tː	tː	tː	tː	tː	tʰ	tː	tː	tː	tː	tː	t
172.0	*a	(k|ɡ|t|s|d|t͡ʃ|t͡s|j|kʲ|tʲ) __ (ɲ|ŋ|n|m|k|ɡ|ɸ|t|s|p|d|b|t͡ʃ|t͡s|kː|tː|kʲ|tʲ)	a	a	a	a	a	a	a	a	ã	a	a	a	ã	a	ã
173.0	*tˀ	(⋊) __ (o|e)	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	ɾ	tˀ	ɾ
174.0	*tʲ	(⋊) (kʷ) (e) __ (u) (⋉)	tʲ	tʲ	tʲ	tʲ	tʲ	t	tʲ	h	s	tʲ	tʲ	tʲ	s	tʲ	s
175.0	*∅	(⋊) (m) (ɨ) (t͡s) (a) __ (⋉)	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	k	∅	ɾ
176.0	*h	(⋊) (m) (a) __ (a) (⋉)	h	h	h	h	h	h	h	h	∅	h	h	h	h	h	m
177.0	*∅	(⋊) (t͡ʃ) (ɨ) __ (⋉)	∅	∅	∅	∅	∅	∅	∅	∅	∅	∅	o	∅	∅	∅	ɾ
178.0	*kˀ	(⋊) __ (o) (ʔ) (o) (⋉)	kˀ	kˀ	kˀ	kˀ	kˀ	t	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	h
179.0	*ʔ	(⋊) (kˀ|ˀk) (o) __ (o) (⋉)	ʔ	ʔ	ʔ	ʔ	ʔ	k	ʔ	ʔ	ɾ	ʔ	d	ʔ	d	ʔ	d
180.0	*ɨ	(⋊) (t͡s) __ (p) (o) (⋉)	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ĩ	ɨ	ɨ	ɨ	ĩ	ɨ	ĩ
181.0	*u	(⋊) (w) __ (ɨ) (⋉)	u	u	u	u	u	u	u	u	ɨ	u	u	u	∅	u	∅
182.0	*kˀ	(⋊) __ (o|u|ɨ|õ|ũ|ɨ̃)	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	kˀ	ɡ	kˀ	kˀ	k	kˀ
183.0	*ʔ	(a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ) __ (a|e|ɨ|i|ã|ĩ|ɨ̃|ẽ)	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	∅	∅	ʔ	ʔ	ʔ	ʔ
184.0	*e	(n|m|ɸ|t|s|p|d|b|t͡ʃ|t͡s|tʲ) __	e	e	e	e	e	e	e	e	e	ẽ	ẽ	e	e	e	e
185.0	*s	__ (a|o|e|u|ɨ|i|ã|õ|ĩ|ũ|ɨ̃|ẽ)	s	s	s	s	s	s	s	s	s	h	t͡ʃ	s	s	s	s
186.0	*tˀ	(⋊) __ (o|e|u|ɨ|i|õ|ĩ|ũ|ɨ̃|ẽ)	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	tˀ	ɾ	ɾ	tˀ	ɾ	tˀ	tˀ	tˀ	tˀ
187.0	*t͡s	(⋊) __ (o|e|õ|ẽ)	t͡s	t͡s	t͡s	t͡s	t͡s	j	t͡s	t͡s	t͡s	t͡s	j	t͡s	t͡s	t͡s	t͡s
188.0	*∅	(⋊) (s) (i) (s) (i) __ (⋉)	∅	∅	∅	∅	∅	∅	∅	∅	k	j	k	∅	∅	∅	∅
189.0	*ɨ	(⋊) (s) __ (ˀj) (o) (⋉)	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	e	ɨ	ẽ	ɨ	ɨ
190.0	*t͡s	__ (a|o|u|ɨ|ã|õ|ũ|ɨ̃)	t͡s	t͡s	t͡s	t͡s	t͡s	t	t͡s	h	s	t͡s	t͡s	t͡s	t͡s	t͡s	t͡s
191.0	*kʷ	(⋊) __ (e) (tʲ) (u) (⋉)	kʷ	kʷ	kʷ	kʷ	kʷ	k	kʷ	k	kʷ	kʷ	kʷ	kʷ	kʷˀ	kʷ	kʷ
192.0	*ɨ̃	(⋊) (kˀ|ˀk) __ (t|tʲ) (a) (⋉)	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ɨ̃	ã	a	ɨ̃	ɨ̃	ɨ̃	a	ɨ̃	ɨ̃
193.0	*a	(⋊) (t͡s) (o) __ (⋉)	a	a	a	a	a	e	a	e	a	a	a	a	a	a	a
194.0	*e	(⋊) (t͡s) (ɨ̃) (pˀ|ˀp) __ (⋉)	e	e	e	e	e	ɨ	e	e	e	e	e	e	o	e	e
195.0	*ʔ	(⋊) (j) (ɨ) __ (ɨ) (⋉)	ʔ	ʔ	ʔ	ʔ	ʔ	h	ʔ	ʔ	ʔ	ʔ	ʔ	ʔ	∅	ʔ	ʔ
196.0	*ɨ	(⋊) (t͡ʃ) __	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	ɨ	i	e	ɨ	ɨ	i	ɨ	ɨ
197.0	*i	(⋊) (kˀ|ˀk) (õ) (p) __ (⋉)	i	i	i	i	i	i	i	i	ĩ	i	i	i	ĩ	i	i
198.0	*∅	(⋊) (j) (ɨ) (ʔ) (o) __ (⋉)	∅	∅	∅	∅	∅	∅	∅	∅	b	∅	∅	∅	b	∅	∅
199.0	*õ	(⋊) (tˀ|ˀt) __ (m) (i) (⋉)	õ	õ	õ	õ	õ	õ	õ	õ	o	õ	õ	õ	o	õ	õ
200.0	*∅	(⋊) (j) (ẽ) (kː) (u) __ (⋉)	∅	∅	∅	∅	∅	∅	∅	∅	ɨ	j	∅	∅	∅	∅	∅
