ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Koreguahe-89-nose-1,,Koreguahe,89-nose,ɨ̃khe,ɨ̃.kh.e,ɨ̃ kʰ e,,Chacon2014,,,^ ɨ̃ . kh . e $,default
Kubeo-89-nose-1,,Kubeo,89-nose,ũeka,ũ.e.k.a,ũ e k a,,Chacon2014,,,^ ũ . e . k . a $,default
Kueretu-89-nose-1,,Kueretu,89-nose,kome,k.o.m.e,k o m e,,Chacon2014,,,^ k . o . m . e $,default
Maihiki-89-nose-1,,Maihiki,89-nose,ũkue,ũ.kw.e,ũ kʷ e,,Chacon2014,,,^ ũ . kw . e $,default
Sekoya-89-nose-1,,Sekoya,89-nose,õkwe,õ.kw.e,õ kʷ e,,Chacon2014,,,^ õ . kw . e $,default
Siona-89-nose-1,,Siona,89-nose,ũkue,ũ.kw.e,ũ kʷ e,,Chacon2014,,,^ ũ . kw . e $,default
Tanimuka-89-nose-1,,Tanimuka,89-nose,~obe,õ.m.ẽ,õ m ẽ,,Chacon2014,,,^ õ . m . ẽ $,default
Tukano-89-nose-1,,Tukano,89-nose,~eʔke,ẽ.ʔk.ẽ,ẽ ˀk ẽ,,Chacon2014,,,^ ẽ . ʔk . ẽ $,default
Tuyuka-89-nose-1,,Tuyuka,89-nose,~ekea,ẽ.k.ẽ.ã,ẽ k ẽ ã,,Chacon2014,,,^ ẽ . k . ẽ . ã $,default
Wanano-89-nose-1,,Wanano,89-nose,~ke,k.ẽ,k ẽ,,Chacon2014,,,^ k . ẽ $,default
Yupua-89-nose-1,,Yupua,89-nose,ɨgɨ,ɨ.g.ɨ,ɨ g ɨ,,Chacon2014,,,^ ɨ . g . ɨ $,default
Prototucanoan-89-nose-1,,Prototucanoan,89-nose,*ɨ̃kwʔe,ɨ̃.kwʔ.e,ɨ̃ kʷˀ e,,Chacon2014,,,^ ɨ̃ . kwʔ . e $,default
Barasano-78-man-1,,Barasano,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Desano-78-man-1,,Desano,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Karapan-78-man-1,,Karapan,78-man,~bɨ,m.ɨ̃,m ɨ̃,,Chacon2014,,,^ m . ɨ̃ $,default
Koreguahe-78-man-1,,Koreguahe,78-man,ɨmɨ,ɨ.m.ɨ,ɨ m ɨ,,Chacon2014,,,^ ɨ . m . ɨ $,default
Kubeo-78-man-1,,Kubeo,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Maihiki-78-man-1,,Maihiki,78-man,ɨmɨ,ɨ.m.ɨ,ɨ m ɨ,,Chacon2014,,,^ ɨ . m . ɨ $,default
Sekoya-78-man-1,,Sekoya,78-man,ɨ̃mɨ̃,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Siona-78-man-1,,Siona,78-man,ɨmɨ,ɨ.m.ɨ,ɨ m ɨ,,Chacon2014,,,^ ɨ . m . ɨ $,default
Tanimuka-78-man-1,,Tanimuka,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Tukano-78-man-1,,Tukano,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Tuyuka-78-man-1,,Tuyuka,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
Wanano-78-man-1,,Wanano,78-man,~ɨbɨ,ɨ̃.m.ɨ̃,ɨ̃ m ɨ̃,,Chacon2014,,,^ ɨ̃ . m . ɨ̃ $,default
