index,source,target,context,proto language,daughter language
836,s,t, / _V ! _E,Proto-Kalamian,Karamiananen
837,s,t, / _\#,Proto-Kalamian,Karamiananen
838,s,c,N/A,Proto-Kalamian,Karamiananen
839,b,β, / V_V,Proto-Kalamian,Karamiananen
840,β,w, / V[+ high]_\ipa{a},Proto-Kalamian,Karamiananen
841,ɡ,h, / V_V,Proto-Kalamian,Karamiananen
842,ɔ,ʔ, / \#_,Proto-Kalamian,Karamiananen
843,k,ɔ," / _\{V,\#\}",Proto-Kalamian,Kalamian Tagbanwa
844,q,k,N/A,Proto-Kalamian,Kalamian Tagbanwa
845,ɔ,ʔ, / \#_,Proto-Kalamian,Kalamian Tagbanwa
846,c,s,N/A,Proto-Philippine,Kankanay
847,u,o, / _\#,Proto-Philippine,Tagalog
848,̣,l, / V_V,Proto-Philippine,Tagalog
849,z,r, / V_V,Proto-Philippine,Tagalog
850,ə,u,N/A,Proto-Philippine,Waray
851,z,d,N/A,Proto-Philippine,Waray
852,j,r, / V_V,Proto-Philippine,Waray
853,*j,d,N/A,Proto-Philippine,Waray
854,r,l, / _\#,Proto-Philippine,Waray
855,*c,s,N/A,Proto-Philippine,Waray
856,q,ɔ,N/A,Proto-Philippine,Waray
857,a,e, / _\ipa{j}\#,Proto-Austronesian,Proto-Batak
858,q,ɔ," / \#_ (sometimes; ``represented by *\ipa{h} in PB"")",Proto-Austronesian,Proto-Batak
859,wa,u, / \#_,Proto-Malayo-Polynesian,Proto-Chamic
860,w,ɔ, / \#_,Proto-Malayo-Polynesian,Proto-Chamic
861,i,ɔj, / _\#,Proto-Malayo-Polynesian,Proto-Chamic
862,iw,?, / _\#,Proto-Malayo-Polynesian,Proto-Chamic
863,u,ɔw, / _\#,Proto-Malayo-Polynesian,Proto-Chamic
864,l,r, / \#_ (sporadic),Proto-Malayo-Polynesian,Proto-Chamic
865,n,l, / \#_ (sporadic),Proto-Malayo-Polynesian,Proto-Chamic
866,ə,ɔ, / VC_CV,Proto-Malayo-Polynesian,Chamorro
867,i,e," / _C\{C,\#\}",Proto-Malayo-Polynesian,Chamorro
868,u,o," / _C\{C,\#\}",Proto-Malayo-Polynesian,Chamorro
869,i,e, / CC\# (sporadic),Proto-Malayo-Polynesian,Chamorro
870,u,o, / CC\# (sporadic),Proto-Malayo-Polynesian,Chamorro
871,iw,u,N/A,Proto-Malayo-Polynesian,Chamorro
872,p,f,N/A,Proto-Malayo-Polynesian,Chamorro
873,c,s,N/A,Proto-Malayo-Polynesian,Chamorro
874,q,ʔ,N/A,Proto-Malayo-Polynesian,Chamorro
875,k,ɔ, / _\# (sporadic),Proto-Malayo-Polynesian,Chamorro
876,k,h, / ! _\#,Proto-Malayo-Polynesian,Chamorro
877,h,ɔ,N/A,Proto-Malayo-Polynesian,Chamorro
878,b,p,N/A,Proto-Malayo-Polynesian,Chamorro
879,dz,ts,N/A,Proto-Malayo-Polynesian,Chamorro
880,d,ɔ, / _\#,Proto-Malayo-Polynesian,Chamorro
881,ɟ,ʔ,N/A,Proto-Malayo-Polynesian,Chamorro
882,l,d," / _\{C,\#\}",Proto-Malayo-Polynesian,Chamorro
883,ɾ,ɡ,N/A,Proto-Malayo-Polynesian,Chamorro
884,ɔ,j, / \ipa{i}_\ipa{a},Proto-Malayo-Polynesian,Chamorro
885,ɔ,w, / \ipa{u}_\ipa{a},Proto-Malayo-Polynesian,Chamorro
886,ɔ,w, / \ipa{a}_\ipa{u},Proto-Malayo-Polynesian,Chamorro
887,ɔ,w, / \#_V,Proto-Malayo-Polynesian,Chamorro
888,j,dz,N/A,Proto-Malayo-Polynesian,Chamorro
889,w,ɡʷ,N/A,Proto-Malayo-Polynesian,Chamorro
890,j,d,N/A,Proto-Malayo-Polynesian,Proto-Malayic
891,z,j,N/A,Proto-Malayo-Polynesian,Proto-Malayic
892,w,ɔ, / \#_,Proto-Malayo-Polynesian,Proto-Malayic
893,h,ʔ, / _\# (sometimes),Proto-Malayo-Polynesian,Proto-Malayic
894,h,ɔ, / else,Proto-Malayo-Polynesian,Proto-Malayic
895,aj,i, / _\#,Proto-Malayo-Polynesian,Proto-Malayic
896,aw,u, / _\#,Proto-Malayo-Polynesian,Proto-Malayic
897,aj,aj, / _\#,Proto-Malayo-Polynesian,Proto-Malayic
898,aw,aw, / _\#,Proto-Malayo-Polynesian,Proto-Malayic
899,ə,a, / _(C\textellipsis)\#,Proto-Malayic,(Standard) Malay
900,n,ɲ," / ``in the environment of {\it i} (sporadic)""",Proto-Malayic,(Standard) Malay
901,aw,əw, / _\#,Proto-Malayo-Polynesian,Proto-Malayo-Javanic
902,aj,əj, / _\#,Proto-Malayo-Polynesian,Proto-Malayo-Javanic
903,b,w, / ! adjacent to another consonant,Proto-Malayo-Javanic,Javanese
904,ə,u, / _\ipa{h}\#,Proto-Malayo-Javanic,Javanese
905,h,ɔ, / \#_,Proto-Malayo-Javanic,Javanese
906,iw,ju, / _\#,Proto-Malayo-Javanic,Javanese
907,uj,i, / _\#,Proto-Malayo-Javanic,Javanese
908,əw,i, / _\#,Proto-Malayo-Javanic,Javanese
909,əj,u, / _\#,Proto-Malayo-Javanic,Javanese
910,aw,e, / _\#,Proto-Malayo-Javanic,Javanese
911,aj,́o, / _\#,Proto-Malayo-Javanic,Javanese
912,:l,l,N/A,Proto-Malayo-Polynesian,Madurese
913,z,jʰ,N/A,Proto-Malayo-Polynesian,Madurese
914,h,ɔ,N/A,Proto-Malayo-Polynesian,Madurese
915,w,c, / \#_,Proto-Malayo-Javanic,Sundanese
916,iw,ju, / _\#,Proto-Malayo-Javanic,Sundanese
917,uj,i, / _\#,Proto-Malayo-Javanic,Sundanese
918,əw,o, / _\#,Proto-Malayo-Javanic,Sundanese
919,əj,e, / _\#,Proto-Malayo-Javanic,Sundanese
920,ɔ,w, / \ipa{u}_V,Proto-Malayo-Polynesian,Palauan
921,ɔ,j, / \ipa{i}_V,Proto-Malayo-Polynesian,Palauan
922,ə,ɔ, / \#_,Proto-Malayo-Polynesian,Palauan
923,ɔ,ə," / C_C ``(for certain consonant combinations, which the paper doesn't specify)''",Proto-Malayo-Polynesian,Palauan
924,h,ɔ,N/A,Proto-Malayo-Polynesian,Palauan
925,p,w,N/A,Proto-Malayo-Polynesian,Palauan
926,wa,o, / \#_ when unstressed,Proto-Malayo-Polynesian,Palauan
927,wə,u, / \#_,Proto-Malayo-Polynesian,Palauan
928,j,r,N/A,Proto-Malayo-Polynesian,Palauan
929,l,j,N/A,Proto-Malayo-Polynesian,Palauan
930,ə,ɔ, / _\ipa{j},Proto-Malayo-Polynesian,Palauan
931,j,ɔ, / C_\ipa{i},Proto-Malayo-Polynesian,Palauan
932,ə,ɔ, / _\#,Proto-Malayo-Polynesian,Palauan
933,t,ð, / ! adjacent to S,Proto-Malayo-Polynesian,Palauan
934,s,t,N/A,Proto-Malayo-Polynesian,Palauan
935,ʀ,r, / _C[+dental],Proto-Malayo-Polynesian,Palauan
936,ʀ,s,N/A,Proto-Malayo-Polynesian,Palauan
937,d,r,N/A,Proto-Malayo-Polynesian,Palauan
938,n,l,N/A,Proto-Malayo-Polynesian,Palauan
939,dz,r,N/A,Proto-Malayo-Polynesian,Palauan
940,rl,lː,N/A,Proto-Malayo-Polynesian,Palauan
941,ɟ,k, / _C\#,Proto-Malayo-Polynesian,Palauan
942,ɟ,s,N/A,Proto-Malayo-Polynesian,Palauan
943,ŋ,ɔ, / C_\#,Proto-Malayo-Polynesian,Palauan
944,ɔ,ŋ, / \#_V,Proto-Malayo-Polynesian,Palauan
945,h,ɔ, / _\#,Proto-Malayo-Polynesian,Proto-North Sarawak
946,h,ʔ," / \ipa{a}_\{\ipa{i,u}\}",Proto-Malayo-Polynesian,Proto-North Sarawak
947,ə,ɔ, / adjacent to a vowel,Proto-Malayo-Polynesian,Proto-North Sarawak
948,a,ə, / _UU(U\textellipsis)\#,Proto-Malayo-Polynesian,Proto-North Sarawak
949,ə,ɔ, / _V,Proto-Malayo-Polynesian,Proto-North Sarawak
950,ɟ:,dː,N/A,Proto-Malayo-Polynesian,Proto-North Sarawak
951,ɟ,d,N/A,Proto-Malayo-Polynesian,Proto-North Sarawak
952,ə,ɔ," / \#_UU(U\textellipsis)\# ``(i.e., in word-initial position in prepenultimate syllables)",Proto-Malayo-Polynesian,Proto-North Sarawak
953,pː,p,N/A,Proto-Malayo-Polynesian,Proto-North Sarawak
954,tː,t,N/A,Proto-Malayo-Polynesian,Proto-North Sarawak
955,cː,c,N/A,Proto-Malayo-Polynesian,Proto-North Sarawak
956,kː,k,N/A,Proto-Malayo-Polynesian,Proto-North Sarawak
957,k,ɔ, / V_V ``(in some forms)'',Proto-North Sarawak,Kiput
958,ai,a̯i, / _\#,Proto-North Sarawak,Kiput
959,au,a̯u, / _\#,Proto-North Sarawak,Kiput
960,ə,a, / _\ipa{P}\#,Proto-North Sarawak,Kiput
961,ai,εː, / _\textellipsis\#,Proto-North Sarawak,Kiput
962,au,ɔː, / _\textellipsis\#,Proto-North Sarawak,Kiput
963,i,ə̯i, / _\#,Proto-North Sarawak,Kiput
964,u,ə̯u, / _\#,Proto-North Sarawak,Kiput
965,ɔ,h, / \ipa{a}_\#,Proto-North Sarawak,Kiput
966,s,ɔ, / V_V (sporadic),Proto-North Sarawak,Kiput
967,ə,ɔ, / adjacent to a vowel,Proto-North Sarawak,Kiput
968,l,ɔ, / ! _\# (irregular),Proto-North Sarawak,Kiput
969,u,əw, / _V ``(also cases of (C)u,Proto-North Sarawak,Kiput
970,i,əj, / _V ``(also cases of (C)i,Proto-North Sarawak,Kiput
971,w,v,N/A,Proto-North Sarawak,Kiput
972,j,ɟ,N/A,Proto-North Sarawak,Kiput
973,i̯u,u̯i,N/A,Proto-North Sarawak,Kiput
974,s,ɔ, / _\#,Proto-North Sarawak,Kiput
975,i,ε, / _C\# ! _P (sporadic),Proto-North Sarawak,Kiput
976,u,ɔ, / _C\# ! _P (sporadic),Proto-North Sarawak,Kiput
977,ʀ,ʔ," / _\# ``(in a handful of forms)""",Proto-North Sarawak,Kiput
978,ʀ,ɾ,N/A,Proto-North Sarawak,Kiput
979,a,i," / O[+voiced]\textellipsis_(C)\# ``(blocked if there was an intervening nasal, and sometimes if there was an intervening voiceless stop or liquid)''",Proto-North Sarawak,Kiput
980,i,ə̯i, / _(\ipa{P})\#,Proto-North Sarawak,Kiput
981,u,ə̯u, / _(\ipa{P})\#,Proto-North Sarawak,Kiput
982,ə̯i,a̯i, / ! O[+voiced] earlier in the word,Proto-North Sarawak,Kiput
983,ə̯u,a̯u, / ! O[+voiced] earlier in the word,Proto-North Sarawak,Kiput
984,bʱ,f,N/A,Proto-North Sarawak,Kiput
985,̣ʱ,s,N/A,Proto-North Sarawak,Kiput
986,dzʱ,k,N/A,Proto-North Sarawak,Kiput
987,f,s,N/A,Proto-North Sarawak,Kiput
988,v,f, / V_V,Proto-North Sarawak,Kiput
989,ɡ,k, / V_V,Proto-North Sarawak,Kiput
990,ɟ,c, / V_V,Proto-North Sarawak,Kiput
991,v,f, / \#_,Proto-North Sarawak,Kiput
992,ɟ,c, / \#_,Proto-North Sarawak,Kiput
993,i,i̯@," / _\{\ipa{k,N}\}\# ``(and also sporadically before final *t and *n and some other consonants)",Proto-North Sarawak,Kiput
994,ε,u̯@," / _\{\ipa{k,N}\}\# ``(and also sporadically before final *t and *n and some other consonants)",Proto-North Sarawak,Kiput
995,n,l, / \#_,Proto-North Sarawak,Kiput
996,ə,ɔ, / \#_,Proto-North Sarawak,Kiput
997,ʀ,h, / _\#,Proto-North Sarawak,Proto-Kenyah
998,:R,ɔ,N/A,Proto-North Sarawak,Proto-Kenyah
999,s,h, / _\#,Proto-North Sarawak,Proto-Kenyah
1000,i,e, / _\ipa{h}\#,Proto-North Sarawak,Proto-Kenyah
1001,u,o, / _\ipa{h}\#,Proto-North Sarawak,Proto-Kenyah
1002,h,ɔ, / _\#,Proto-North Sarawak,Proto-Kenyah
1003,l,n, / _\#,Proto-North Sarawak,Proto-Kenyah
1004,s,t, / _V\ipa{s}VC,Proto-North Sarawak,Proto-Kenyah
1005,i,e, / _\ipa{k}\#,Proto-Kenyah,\`Oma L\'ongh
1006,i,iə, / _\ipa{N}\#,Proto-Kenyah,\`Oma L\'ongh
1007,p,k, / \ipa{u}_\#,Proto-Kenyah,\`Oma L\'ongh
1008,u,o, / _\ipa{k}\#,Proto-Kenyah,\`Oma L\'ongh
1009,u,o, / _\ipa{N}\# ``(sporadically failed to occur)'',Proto-Kenyah,\`Oma L\'ongh
1010,u,ɯ, / _(C)\# ! _\ipa{P}\#,Proto-Kenyah,\`Oma L\'ongh
1011,a,o, / _\# ``(not in all forms)'',Proto-Kenyah,\`Oma L\'ongh
1012,k,ʔ, / _\#,Proto-Kenyah,\`Oma L\'ongh
1013,a,ε," / \{\ipa{t,n}\}_\#",Proto-Kenyah,\`Oma L\'ongh
1014,p,c̑extcorner," / \{\ipa{i,E}\}_\#",Proto-Kenyah,\`Oma L\'ongh
1015,t,ɲ," / \{\ipa{i,E}\}_\#",Proto-Kenyah,\`Oma L\'ongh
1016,m,ɲ, / \ipa{i}_\#,Proto-Kenyah,\`Oma L\'ongh
1017,a̯i,ε,N/A,Proto-Kenyah,\`Oma L\'ongh
1018,a̯u,ɔ,N/A,Proto-Kenyah,\`Oma L\'ongh
1019,i,e, / _CV[+close-mid](C)\# ``(i\ipa{@} is treated as close mid for this change)'',Proto-Kenyah,\`Oma L\'ongh
1020,u,o, / _CV[+close-mid](C)\# ``(i\ipa{@} is treated as close mid for this change)'',Proto-Kenyah,\`Oma L\'ongh
1021,i,ε, / _CV[+open-mid](C)\#,Proto-Kenyah,\`Oma L\'ongh
1022,u,ɔ, / _CV[+open-mid](C)\#,Proto-Kenyah,\`Oma L\'ongh
1023,i,e, / _C\ipa{W}\#,Proto-Kenyah,\`Oma L\'ongh
1024,u,o, / _C\ipa{W}\#,Proto-Kenyah,\`Oma L\'ongh
1025,ŋ,̊N, / _\#,Proto-Kenyah,\`Oma L\'ongh
1026,p,k, / \ipa{W}_\#,Proto-Kenyah,\`Oma L\'ongh
1027,t,ŋ, / \ipa{W}_\#,Proto-Kenyah,\`Oma L\'ongh
1028,i,əj, / _V(C)\#,Proto-Kenyah,\`Oma L\'ongh
1029,u,əw, / _V(C)\#,Proto-Kenyah,\`Oma L\'ongh
1030,j,z,N/A,Proto-Kenyah,\`Oma L\'ongh
1031,w,v,N/A,Proto-Kenyah,\`Oma L\'ongh
1032,p,f, / \#_,Proto-Kenyah,\`Oma L\'ongh
1033,ə,ɔ, / \#_,Proto-Kenyah,\`Oma L\'ongh
1034,p,f," / V_V ! ""\ipa{@}_V",Proto-Kenyah,\`Oma L\'ongh
1035,k,γ," / V_V ! ""\ipa{@}_V",Proto-Kenyah,\`Oma L\'ongh
1036,d,r, / V_V ``(irregular)'',Proto-Kenyah,\`Oma L\'ongh
1037,dz,ɟ, / V_V,Proto-Kenyah,\`Oma L\'ongh
1038,b,p, / N_,Proto-Kenyah,\`Oma L\'ongh
1039,d,t, / N_,Proto-Kenyah,\`Oma L\'ongh
1040,dz,c, / N_,Proto-Kenyah,\`Oma L\'ongh
1041,ɡ,k, / N_,Proto-Kenyah,\`Oma L\'ongh
1042,h,ɔ, / ! _\# (some exceptions),Proto-Malayic,Minangkabau
1043,a,o, / _(C\textellipsis)\#,Proto-Malayic,Minangkabau
1044,ə,a, / _(C\textellipsis)\# (eventually spread to everywhere),Proto-Malayic,Minangkabau
1045,m,n," / \{\ipa{u,i}\}_",Proto-Malayic,Minangkabau
1046,p,t," / \{\ipa{u,i}\}_",Proto-Malayic,Minangkabau
1047,a,e," / _\{\ipa{t,s}\}\#",Proto-Malayic,Minangkabau
1048,u,uj," / _\{\ipa{t,s}\}\#",Proto-Malayic,Minangkabau
1049,a,o, / _\ipa{p}\#,Proto-Malayic,Minangkabau
1050,u,uə," / _\ipa{\{k,N,h,l,r\}}\#",Proto-Malayic,Minangkabau
1051,i,iə," / _\ipa{\{k,N,h,l,r\}}\#",Proto-Malayic,Minangkabau
1052,ŋk,ɡ,N/A,Proto-Austronesian,Proto-Oceanic
1053,ŋɡ,k,N/A,Proto-Austronesian,Proto-Oceanic
1054,d,r,N/A,Proto-Austronesian,Proto-Oceanic
1055,aw,o, / _\#,Proto-Austronesian,Proto-Oceanic
1056,k,ʔ,N/A,Proto-Oceanic,Hawai'ian
1057,t,k,N/A,Proto-Oceanic,Hawai'ian
1058,β,βʷ, / typically near *\ipa{u},Proto-Oceanic,Hiw
1059,b,bʷ, / typically near *\ipa{u},Proto-Oceanic,Hiw
1060,m,mʷ, / typically near *\ipa{u},Proto-Oceanic,Hiw
1061,ɲ,n,N/A,Proto-Oceanic,Hiw
1062,b,p,N/A,Proto-Oceanic,Hiw
1063,d,t,N/A,Proto-Oceanic,Hiw
1064,ɡ,k,N/A,Proto-Oceanic,Hiw
1065,βʷ,w,N/A,Proto-Oceanic,Hiw
1066,bʷ,kʷ,N/A,Proto-Oceanic,Hiw
1067,mʷ,ŋʷ,N/A,Proto-Oceanic,Hiw
1068,l,j,N/A,Proto-Oceanic,Hiw
1069,r,ɡʟ,N/A,Proto-Oceanic,Hiw
1070,a,e, / _CV[+ mid] (sporadic),Proto-Oceanic,Hiw
1071,a,e, / _C\ipa{i} (sporadic),Proto-Oceanic,Hiw
1072,u,ʉ, / ! C\ipa{w}_,Proto-Oceanic,Hiw
1073,b,p,N/A,Proto-Oceanic,Lemerig
1074,bʷ,kpʷ,N/A,Proto-Oceanic,Lemerig
1075,d,t,N/A,Proto-Oceanic,Lemerig
1076,ɡ,k,N/A,Proto-Oceanic,Lemerig
1077,mʷ,ŋmʷ,N/A,Proto-Oceanic,Lemerig
1078,o,υ,N/A,Proto-Oceanic,Lemerig
1079,e,ɪ,N/A,Proto-Oceanic,Lemerig
1080,ndr,d,N/A,Proto-Oceanic,Mwotlap
1081,p,β,N/A,Proto-Oceanic,Mwotlap
1082,pʷ,w,N/A,Proto-Oceanic,Mwotlap
1083,bʷ,kpʷ,N/A,Proto-Oceanic,Mwotlap
1084,k,γ,N/A,Proto-Oceanic,Mwotlap
1085,ɡ,k,N/A,Proto-Oceanic,Mwotlap
1086,mʷ,ŋmʷ,N/A,Proto-Oceanic,Mwotlap
1087,ɲ,n,N/A,Proto-Oceanic,Mwotlap
1088,r,j,N/A,Proto-Oceanic,Mwotlap
1089,o,ɔ, / C_V[- high],Proto-Oceanic,Mwotlap
1090,e,ε, / C_V[- high],Proto-Oceanic,Mwotlap
1091,i,ɪ, / C_V[- high],Proto-Oceanic,Mwotlap
1092,u,υ, / _CV[+ high],Proto-Oceanic,Mwotlap
1093,a,ε, / _CV[+ high],Proto-Oceanic,Mwotlap
1094,o,υ,N/A,Proto-Oceanic,Mwotlap
1095,e,ɪ,N/A,Proto-Oceanic,Mwotlap
1096,b,m," / _\{C,\#\}",Proto-Oceanic,Mwotlap
1097,β,p," / _\{C,\#\}",Proto-Oceanic,Mwotlap
1098,d,n," / _\{C,\#\}",Proto-Oceanic,Mwotlap
1099,kpʷ,k, / _C (sporadic),Proto-Oceanic,Mwotlap
1100,r,:t,N/A,Proto-Oceanic,Proto-New Caledonia
1101,k,ɔ," / _\{\ipa{o,a}\}",Proto-New Caledonia,Caa\`ac
1102,jʰ,h, / _\ipa{i},Proto-New Caledonia,Caa\`ac
1103,t,l, / V_V,Proto-New Caledonia,Caa\`ac
1104,c,j, / V_V,Proto-New Caledonia,Caa\`ac
1105,pː,pʰ,N/A,Proto-New Caledonia,Jaw\'e
1106,pwː,hʷ,N/A,Proto-New Caledonia,Jaw\'e
1107,̪t:,̪tʰ,N/A,Proto-New Caledonia,Jaw\'e
1108,tː,tʰ,N/A,Proto-New Caledonia,Jaw\'e
1109,kː,h,N/A,Proto-New Caledonia,Jaw\'e
1110,cː,jʰ,N/A,Proto-New Caledonia,Jaw\'e
1111,̪t,l, / V_V,Proto-New Caledonia,Jaw\'e
1112,̪t,t,N/A,Proto-New Caledonia,Jaw\'e
1113,̪tʰ,tʰ,N/A,Proto-New Caledonia,Jaw\'e
1114,t,c,N/A,Proto-New Caledonia,Jaw\'e
1115,tʰ,s,N/A,Proto-New Caledonia,Jaw\'e
1116,pː,f,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1117,pwː,hʷ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1118,tː,̪tʰ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1119,̪t:,tʰ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1120,kː,h,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1121,cː,jʰ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1122,̪t,l, / V_V,Proto-New Caledonia,Nemi-Pije-Fwai
1123,t,c, / _E,Proto-New Caledonia,Nemi-Pije-Fwai
1124,tʰ,h, / _E,Proto-New Caledonia,Nemi-Pije-Fwai
1125,̪t,t,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1126,̪tʰ,tʰ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1127,jʰ,h, / _\ipa{i},Proto-New Caledonia,Nemi-Pije-Fwai
1128,bw,ɡ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1129,mw,ŋ,N/A,Proto-New Caledonia,Nemi-Pije-Fwai
1130,n,ɲ, / _E,Proto-New Caledonia,Nemi-Pije-Fwai
1131,̥n,̊ɲ, / _E,Proto-New Caledonia,Nemi-Pije-Fwai
1132,k,c, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1133,k,c, / _\#,Proto-Northern,Nixumwak-N\^el\^emwa
1134,t,k,N/A,Proto-Northern,Nixumwak-N\^el\^emwa
1135,̪t,t,N/A,Proto-Northern,Nixumwak-N\^el\^emwa
1136,k,ɔ," / _\{\ipa{o,a}\}",Proto-Northern,Nixumwak-N\^el\^emwa
1137,kʰ,h, / _\ipa{a},Proto-Northern,Nixumwak-N\^el\^emwa
1138,pw,vw, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1139,pw,w, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1140,p,v, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1141,t,r, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1142,:t,l, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1143,k,γ, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1144,c,j, / V_V,Proto-Northern,Nixumwak-N\^el\^emwa
1145,pw,w,N/A,Proto-Northern,Nixumwak-N\^el\^emwa
1146,:t,t,N/A,Proto-Northern,Nixumwak-N\^el\^emwa
1147,pwʰ,fw, / in Nelemwa,Proto-Northern,Nixumwak-N\^el\^emwa
1148,pʰ,f, / in Nelemwa,Proto-Northern,Nixumwak-N\^el\^emwa
1149,tʰ,rʰ, / in Nelemwa,Proto-Northern,Nixumwak-N\^el\^emwa
1150,kʰ,x, / in Nelemwa,Proto-Northern,Nixumwak-N\^el\^emwa
1151,uɕu,iɕi,N/A,Proto-Northern,Nixumwak-N\^el\^emwa
1152,u,o, / ``in monosyllabic forms almost always'',Proto-Northern,Nixumwak-N\^el\^emwa
1153,i,e, / ``in monosyllabic forms almost always'',Proto-Northern,Nixumwak-N\^el\^emwa
1154,k,c,N/A,Proto-New Caledonia,Nyel\^ayu
1155,k,j,N/A,Proto-New Caledonia,Nyel\^ayu
1156,t,c,N/A,Proto-New Caledonia,Nyel\^ayu
1157,s,̪t,N/A,Proto-New Caledonia,Nyel\^ayu
1158,p,v, / V_V,Proto-New Caledonia,Nyel\^ayu
1159,pw,vw, / V_V,Proto-New Caledonia,Nyel\^ayu
1160,pw,w, / V_V,Proto-New Caledonia,Nyel\^ayu
1161,̪t,r, / V_V,Proto-New Caledonia,Nyel\^ayu
1162,:t,l, / V_V,Proto-New Caledonia,Nyel\^ayu
1163,c,j, / V_V,Proto-New Caledonia,Nyel\^ayu
1164,̪t,r, / _\#,Proto-New Caledonia,Nyel\^ayu
1165,:t,l, / _\#,Proto-New Caledonia,Nyel\^ayu
1166,ɴq,ŋk,N/A,Proto-New Caledonia,Nyel\^ayu
1167,pː,pʰ,N/A,Proto-New Caledonia,Nyel\^ayu
1168,pwː,pwʰ,N/A,Proto-New Caledonia,Nyel\^ayu
1169,tː,tʰ,N/A,Proto-New Caledonia,Nyel\^ayu
1170,qː,h,N/A,Proto-New Caledonia,Nyel\^ayu
1171,cː,cʰ,N/A,Proto-New Caledonia,Nyel\^ayu
1172,q,ɔ,N/A,Proto-New Caledonia,Nyel\^ayu
1173,q,k,N/A,Proto-New Caledonia,Pwaamei
1174,k,j,N/A,Proto-New Caledonia,Pwaamei
1175,t,c,N/A,Proto-New Caledonia,Pwaamei
1176,s,t,N/A,Proto-New Caledonia,Pwaamei
1177,pː,f,N/A,Proto-New Caledonia,Pwaamei
1178,pwː,hʷ,N/A,Proto-New Caledonia,Pwaamei
1179,tː,tʰ,N/A,Proto-New Caledonia,Pwaamei
1180,:t,lʰ,N/A,Proto-New Caledonia,Pwaamei
1181,kː,h,N/A,Proto-New Caledonia,Pwaamei
1182,cː,s,N/A,Proto-New Caledonia,Pwaamei
1183,:t,l, / V_V,Proto-New Caledonia,Pwaamei
1184,k,j, / V_V,Proto-New Caledonia,Pwaamei
1185,c,O, / V_V,Proto-New Caledonia,Pwaamei
1186,jʰ,s,N/A,Proto-New Caledonia,Pwaamei
1187,j,z,N/A,Proto-New Caledonia,Pwaamei
1188,s,h, / _\ipa{i},Proto-New Caledonia,Pwaamei
1189,pː,pʰ,N/A,Proto-New Caledonia,Pwapw\^a
1190,pwː,xʷ,N/A,Proto-New Caledonia,Pwapw\^a
1191,̪t:,̪tʰ,N/A,Proto-New Caledonia,Pwapw\^a
1192,tː,tʰ,N/A,Proto-New Caledonia,Pwapw\^a
1193,kː,x,N/A,Proto-New Caledonia,Pwapw\^a
1194,cː,s,N/A,Proto-New Caledonia,Pwapw\^a
1195,̪tʰ,cʰ,N/A,Proto-New Caledonia,Pwapw\^a
1196,̪t,cʰ,N/A,Proto-New Caledonia,Pwapw\^a
1197,tʰ,tʰ,N/A,Proto-New Caledonia,Pwapw\^a
1198,t,tʰ,N/A,Proto-New Caledonia,Pwapw\^a
1199,j,z,N/A,Proto-New Caledonia,Pwapw\^a
1200,pː,pʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1201,pwː,pwʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1202,̪t:,̪tʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1203,tː,tʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1204,:t:,:tʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1205,cː,jʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1206,kː,h,N/A,Proto-New Caledonia,Proto-Yunaga
1207,k,ɔ," / _\{\ipa{o,a}\}",Proto-New Caledonia,Proto-Yunaga
1208,tʰ,kʰ,N/A,Proto-New Caledonia,Proto-Yunaga
1209,t,k,N/A,Proto-New Caledonia,Proto-Yunaga
1210,jʰ,h, / _\ipa{i},Proto-New Caledonia,Proto-Yunaga
1211,p,v, / V_V,Proto-New Caledonia,Proto-Yunaga
1212,pw,w, / V_V,Proto-New Caledonia,Proto-Yunaga
1213,̪t,ð, / V_V,Proto-New Caledonia,Proto-Yunaga
1214,:t,l, / V_V,Proto-New Caledonia,Proto-Yunaga
1215,k,O, / V_V,Proto-New Caledonia,Proto-Yunaga
1216,c,j, / V_V,Proto-New Caledonia,Proto-Yunaga
1217,u,o, / in monosyllables,Proto-New Caledonia,Proto-Yunaga
1218,i,e, / in monosyllables,Proto-New Caledonia,Proto-Yunaga
